gene,gene_id,ng_accession,status
ADA,100,NG_007385.1,already_exists
AICDA,57379,NG_011588.1,already_exists
AIRE,326,NG_009556.1,already_exists
AK2,204,NG_016269.1,already_exists
AP3B1,8546,NG_007268.1,already_exists
BIRC4,331,NG_007264.1,already_exists
BLM,641,NG_007272.1,already_exists
BLNK,29760,NG_007575.1,already_exists
BTK,695,NG_009616.1,already_exists
C1QA,712,NG_007282.1,already_exists
C1QB,713,NG_007283.1,already_exists
C1QC,714,NG_007565.1,already_exists
C1S,716,,no_ng
C2,,,no_gene_id
C3,718,NG_009557.1,already_exists
C5,727,NG_007364.1,already_exists
C6,5688,NG_046998.1,already_exists
C7,3627,,no_ng
C8B,732,NG_007285.1,already_exists
C9,735,NG_009894.1,already_exists
CARD9,64170,NG_021197.1,already_exists
CASP10,843,NG_007265.1,already_exists
CASP8,841,NG_007497.1,already_exists
CD19,930,NG_007275.1,already_exists
CD247,919,NG_007384.1,already_exists
CD3D,915,NG_009891.1,already_exists
CD3E,916,NG_007383.1,already_exists
CD3G,917,NG_007566.1,already_exists
CD40L,959,NG_007280.1,already_exists
CD40,958,NG_007279.1,already_exists
CD55,1604,NG_007465.1,already_exists
CD59,966,NG_008057.1,already_exists
CD79A,973,NG_009619.1,already_exists
CD79B,974,NG_007368.1,already_exists
CD8A,925,NG_011608.2,already_exists
CEBPE,1053,NG_009617.1,already_exists
CFD,1675,NG_007274.1,already_exists
CFH,3075,NG_007259.1,already_exists
CFI,3426,NG_007569.1,already_exists
CFP,5199,NG_009893.1,already_exists
CIITA,4261,NG_009628.1,already_exists
CTSC,1075,NG_007952.1,already_exists
CXCR4,7852,NG_011587.1,already_exists
CYBA,1535,NG_007291.1,already_exists
CYBB,1536,NG_009065.1,already_exists
DCLRE1C,64421,NG_007276.1,already_exists
DKC1,1736,NG_009780.1,already_exists
DNMT3B,1789,NG_007290.1,already_exists
ELA2,1991,,no_ng
FASLG,356,NG_007269.1,already_exists
FCGR1A,2209,NG_033089.2,already_exists
FCGR3A,2214,NG_009066.1,already_exists
FERMT3,83706,NG_016360.1,already_exists
FOXN1,8456,NG_007260.1,already_exists
FOXP3,50943,NG_007392.1,already_exists
G6PC3,92579,NG_015818.1,already_exists
GFI1,2672,NG_007874.1,already_exists
HAX1,10456,,no_ng
ICOS,29851,NG_011586.1,already_exists
IFNGR1,3459,NG_007394.1,already_exists
IFNGR2,3460,NG_007570.2,already_exists
IGHG2,3501,,no_ng
IGHM,3507,,no_ng
IGLL1,3543,NG_009791.1,already_exists
IKBKG,8517,NG_009896.1,already_exists
IL12B,3593,NG_009618.1,already_exists
IL12RB1,3594,NG_007366.2,already_exists
IL2RA,3559,NG_007403.1,already_exists
IL7R,3575,NG_009567.1,already_exists
IRAK4,51135,NG_009892.1,already_exists
ITGB2,3689,NG_007270.2,already_exists
JAK3,3718,NG_007273.1,downloaded
LIG1,3978,NG_007395.1,downloaded
LIG4,3981,NG_007396.1,already_exists
LRRC8A,56262,NG_009630.1,already_exists
LYST,1130,NG_007397.1,already_exists
MAPBPIP,28956,NG_009898.1,already_exists
MASP2,10747,NG_007289.2,already_exists
MLPH,79083,NG_007286.1,already_exists
MPO,4353,NG_009629.1,already_exists
MRE11A,4361,NG_007261.1,already_exists
MYO5A,4644,NG_009887.1,already_exists
NCF1,653361,NG_009078.2,already_exists
NCF2,4688,NG_007267.1,already_exists
NFKBIA,4792,NG_007571.1,already_exists
NHEJ1,79840,NG_007880.1,already_exists
NP,4860,NG_009631.1,already_exists
NRAS,4893,NG_007572.1,already_exists
ORAI1,84876,NG_007500.1,already_exists
PIK3R1,5295,NG_012849.2,already_exists
PRF1,5551,NG_009615.1,already_exists
PRKDC,5591,NG_023435.1,already_exists
PTPN11,5781,NG_007459.1,already_exists
PTPRC,5788,NG_007730.2,already_exists
RAB27A,5873,NG_009103.1,already_exists
RAC2,5880,NG_007288.1,already_exists
RAD50,10111,NG_021151.2,already_exists
RAG1,5896,NG_007528.1,already_exists
RAG2,5897,NG_033154.1,already_exists
RASA1,5921,NG_011650.1,already_exists
RASGRP2,10235,NG_007574.1,already_exists
RFX5,5993,NG_007576.1,already_exists
RFXANK,8625,NG_007432.1,already_exists
RFXAP,5994,NG_007876.1,already_exists
RNF168,165918,NG_023425.1,already_exists
SBDS,51119,NG_007277.1,already_exists
SERPING1,710,NG_009625.1,already_exists
SH2D1A,4068,NG_033796.2,already_exists
SH2,,,no_gene_id
SLC35C1,55343,NG_009875.1,already_exists
SMARCAL1,50485,NG_009771.1,already_exists
SP110,5376,NG_007949.1,already_exists
SPINK5,11005,NG_009633.1,already_exists
STAT1,6772,NG_008294.1,already_exists
STAT2,6773,NG_046314.1,already_exists
STAT3,6774,NG_007370.1,already_exists
STAT5B,6777,NG_007271.1,already_exists
STIM1,6786,NG_016277.1,already_exists
STX11,8676,NG_007613.1,already_exists
STXBP2,6813,NG_016709.1,already_exists
TAP1,6890,NG_011759.1,already_exists
TAP2,6891,NG_009793.4,already_exists
TAPBP,6892,NG_009876.1,already_exists
TAZ,25937,,no_ng
TCIRG1,10312,NG_007878.1,already_exists
TCN2,6948,NG_007263.1,already_exists
TLR3,7098,NG_007278.1,already_exists
TMC6,11322,NG_007879.1,already_exists
TMC8,147138,NG_007881.1,already_exists
TNFRSF13B,23495,NG_007281.1,already_exists
TYK2,7297,NG_007872.1,already_exists
UNC13D,201294,NG_007266.1,already_exists
UNC93B1,81622,NG_007581.1,already_exists
UNG,7374,NG_007284.1,already_exists
WAS,7454,NG_007877.1,already_exists
ZAP70,7535,NG_007727.1,already_exists
